arquivo,categoria,data,valor,status
downloadarquivo.pdf,Nota Fiscal / Servio,,,FALHA_VALOR
Fatura_9110352721303 (1).pdf,Agua,25/11/2025,"13.498,44",OK
fgts PINHEIROS - DEZEMBRO.pdf,Impostos/Taxas,,"625,77",OK
GuiaPagamento_46028481000144_021220250914296789.pdf,Outros,19/12/2025,"1.482,97",OK
GuiaPagamento_46028481000144_101220251329588949.pdf,Outros,19/12/2025,"1.407,84",OK
GuiaPagamento_46028481000144_151220251026178632.pdf,Outros,19/12/2025,"4.944,33",OK
gvtinv_509500003473.pdf,Outros,09/11/2025,,FALHA_VALOR
gvtinv_510190145463.pdf,Outros,09/12/2025,,FALHA_VALOR
ISSQN SERVIÇOS TOMADOS - 112025.pdf,Erro,,,FALHA_VALOR
JR-000034378.pdf,Outros,31/10/2025,"109,00",OK
NF - 128623.pdf,Nota Fiscal / Produto,,"1.313,00",OK
NF 3283 PORTAL QUINTA DOS PINHEIROS.pdf,Outros,,,FALHA_VALOR
NF 82 PINHEIROS.pdf,Nota Fiscal / Produto,,"1.299,86",OK
NF 85 PINHEIROS.pdf,Nota Fiscal / Produto,,"101,46",OK
NF-e - 6290 - Serie - 1 - PORTAL QUINTA DOS PINHEIROS.pdf.pdf,Nota Fiscal / Produto,26/09/2025,,FALHA_VALOR
NF4491 PORTAL QUINTA DOS PINHEIROS.pdf,Nota Fiscal / Servio,,"1.518,00",OK
NFe35251109615057000170550010000024321375820342-procnfe.pdf,Nota Fiscal / Produto,,"0,00",FALHA_VALOR
NFS-e _ Campinas.pdf,Erro,,,FALHA_VALOR
nota.pdf,Nota Fiscal / Servio,,,FALHA_VALOR
nota_1.pdf,Nota Fiscal / Produto,19/11/2025,"0,00",FALHA_VALOR
nota_2.pdf,Nota Fiscal / Servio,,"1.518,00",OK
Pinheiros venci.12_12.pdf,Outros,,,FALHA_VALOR
PINHEIROSSERVIÇOS (2) (1).pdf,Nota Fiscal / Servio,,,FALHA_VALOR
PORTAL QUINTA DOS PINHEIROS (1).pdf,Boleto,,"109,00",OK
PORTAL QUINTA DOS PINHEIROS.pdf,Nota Fiscal / Servio,,,FALHA_VALOR
PORTAL QUINTA DOS PINHEIROS_10147922760843212_42000.pdf,Nota Fiscal / Servio,,"1,00",OK
RECIBO_FOLHA (51).pdf,Impostos/Taxas,17/08/2022,"1.874,63",OK
RECIBO_VT_MEIA_PAGINA (10).pdf,RH / Folha,01/12/2025,"6,20",OK
TIAGO - SALARIO.pdf,Impostos/Taxas,17/08/2022,"1.741,88",OK
Vidas reais (3).pdf,Outros,,"58,00",OK
Vidas reais assistencia odonto (2).pdf,Outros,,"23,00",OK
